distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,2,10,3,0.99,5,13,5474.411043580522,5459.112688575184,5463.257091944933,5662.323496110544,8086.159576476134,4694,3037
norm,2,10,3,0.99,6,13,5744.617823102341,5139.054022409049,5156.7379556281,5415.306009623324,6966.762615265162,1321,8596
norm,2,10,3,0.99,7,13,5966.008541479236,4792.984965314811,4787.0123965661915,4980.66811574272,7120.136906015548,3640,2331
norm,2,10,3,0.99,8,13,5553.771806047889,5331.733050085429,5331.733050085429,5523.935418157186,6520.292521753188,7093,4133
norm,2,10,3,0.99,9,13,5838.618436600196,4766.629908239741,4874.140443987558,4922.595490266658,6693.043312926351,1170,6451
geom,1,3,1,0.95,0,5,585.26966888,579.5970451066665,593.848691493333,605.5267702599997,716.0093268399996,3719,6729
geom,1,3,1,0.95,1,5,653.6685087999999,700.9712813026263,712.7354464824242,758.6832286400002,761.9785355599997,5189,3028
geom,1,3,1,0.95,2,5,611.2725707599999,635.4474999185859,645.8501166951514,694.30193215,789.1390293699999,3239,4125
geom,1,3,1,0.95,3,5,614.1534858000001,636.0885599465656,656.5622836381818,653.3015507499999,655.0112261699998,6379,8988
geom,1,3,1,0.95,4,5,618.8841610399999,640.7798252347472,648.5063820434343,659.2343941399995,792.91827698,4184,9753
geom,1,3,1,0.95,5,5,616.91604016,638.1422293147473,664.3201638153532,655.5144605599996,792.4721658799998,9517,2012
geom,1,3,1,0.95,6,5,611.6890216800001,634.2123367325254,658.0531560206059,651.7972158399998,731.6043464800001,4244,12
geom,1,3,1,0.95,7,5,592.2248592,579.5853144,596.6167948,600.851532,714.0931072,7316,3078
geom,1,3,1,0.95,8,5,596.5042239999999,584.8938876266665,592.4510032775755,609.2123090399997,716.6820084799998,9743,5486
geom,1,3,1,0.95,9,5,617.1581037199999,640.3122347826261,648.9346641618181,660.8455681599996,789.5473214199999,4320,7983
geom,1,3,1,0.975,0,5,683.3868219999996,742.5598548484843,744.9100563636359,820.8427049999989,947.2655959999987,2431,85
geom,1,3,1,0.975,1,5,679.4205147799993,740.8196736154539,751.5555712982821,839.3450693199993,853.9142190099993,6010,2372
geom,1,3,1,0.975,2,5,748.8425056599981,825.2302673821193,838.448897239089,922.2158654499979,851.2945860299983,6646,7318
geom,1,3,1,0.975,3,5,706.2232797000001,777.004337120909,793.5760073081817,874.07850622,823.3100175799997,2957,4998
geom,1,3,1,0.975,4,5,636.5827314399995,671.0169734335349,685.4964792460602,710.1284188399991,831.6063239199993,6736,909
geom,1,3,1,0.975,5,5,709.164303679999,781.7669208080795,807.6486578036348,879.5619380799986,806.914070879999,5052,1122
geom,1,3,1,0.975,7,5,686.6018196599994,743.4731193863631,770.4221471527266,842.3184714199994,827.7187748099999,9407,463
geom,1,3,1,0.975,6,5,709.7406639800002,778.5340463445455,789.504994301515,873.33457956,892.2049956400001,1156,7349
geom,1,3,1,0.975,8,5,631.7331911199997,668.4874280381813,698.1118768460599,749.245496919999,895.9883473999992,261,1558
geom,1,3,1,0.975,9,5,883.6265157199995,985.5060772911103,1006.2862990799991,1080.5473688599993,1111.4024212999984,681,4047
geom,1,3,1,0.99,0,5,608.1247203200003,633.8812933616169,656.6690378276774,694.8723577800012,922.6055478800002,3380,1814
geom,1,3,1,0.99,1,5,653.7074699200015,704.0132391781838,711.4677354900019,803.415459320002,871.6112085900014,8361,8283
geom,1,3,1,0.99,2,5,710.7375446400009,778.7305270109101,794.2527436218191,875.7376577600008,1025.9068604000006,4832,98
geom,1,3,1,0.99,3,5,713.1442521800003,781.2006115940409,788.1164407108085,878.2500556500005,785.0711967900004,6222,4193
geom,1,3,1,0.99,4,5,923.7187068000009,1030.828275076668,1042.241858296668,1125.7461704000013,1036.6240091800016,3754,9440
