distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
binom,0.5,5,3,0.975,0,6.5,2333.5035,2322.0957727272717,2330.6423999999997,2415.71706,498,6296
binom,0.5,5,3,0.975,1,6.5,2255.4395,2248.9237782828272,2257.63590325,2326.5438345000002,1736,173
binom,0.5,5,3,0.975,2,6.5,2250.4475,2246.9013434343433,2255.20614,2320.7432999999996,9986,6310
binom,0.5,5,3,0.975,3,6.5,2307.65,2253.202712121212,2261.35425,2311.55025,3339,5169
binom,0.5,5,3,0.975,4,6.5,2301.7258125000008,2244.8505268939393,2252.7641982500004,2329.8639521249997,760,5490
binom,0.5,5,3,0.975,5,6.5,2329.791312500001,2314.1704640151515,2325.147937500001,2401.558812500001,877,4867
binom,0.5,5,3,0.975,6,6.5,2332.1395,2318.9493285353533,2327.625522625,2430.9835175000003,7186,122
binom,0.5,5,3,0.975,7,6.5,2206.6205,2167.6366363636353,2173.3539,2221.2812400000003,7272,1567
binom,0.5,5,3,0.975,8,6.5,2291.195,2238.2815353535343,2246.043135,2309.7693200000003,6430,4612
binom,0.5,5,3,0.975,9,6.5,2260.281812500001,2255.7925802777772,2260.6644245,2322.3354747500002,6851,8541
binom,0.5,5,3,0.99,0,6.5,2752.9709999999995,2724.1393,2733.8567000000003,2859.6801500000006,882,7876
binom,0.5,5,3,0.99,1,6.5,3004.899250000001,2974.7491500000024,2984.50913,3169.6207299999996,5179,4925
binom,0.5,5,3,0.99,2,6.5,2666.082,2639.1804848484844,2650.8214799999996,2763.298855,5523,1100
binom,0.5,5,3,0.99,3,6.5,2408.5594999999994,2393.230973,2404.8189696,2485.1876210000005,7313,7158
binom,0.5,5,3,0.99,4,6.5,2371.399,2398.3630666666663,2410.73958,2499.6544000000004,2579,5062
binom,0.5,5,3,0.99,5,6.5,2663.843250000001,2640.0348136363655,2653.10709,2754.20575,7067,5126
