distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
geom,0.5,5,3,0.99,3,6.5,1173.256,1084.1910543636363,1085.3271655,1123.7210781,1629,8689
geom,0.5,5,3,0.99,4,6.5,1256.2771249999992,1163.8171840909083,1164.9879199999991,1202.5037999999993,1384,6466
geom,0.5,5,3,0.99,5,6.5,1340.0892499999998,1244.23385,1245.3425300000001,1284.61081,1937,784
geom,0.5,5,3,0.99,6,6.5,1257.48375,1164.4611227272728,1165.65383,1204.2051099999999,4036,7218
geom,0.5,5,3,0.99,7,6.5,1173.69075,1082.6742278181814,1083.6990945000002,1121.2346155999999,914,5373
geom,0.5,5,3,0.99,8,6.5,1088.506,1002.4527909090909,1003.2513200000001,1039.01766,2279,6091
geom,0.5,5,3,0.99,9,6.5,1251.4505,1160.4326787878788,1160.87655,1198.72424,711,1247
geom,0.5,10,1,0.95,0,11.5,1252.3555,719.2869943181818,714.2807437499999,734.75854,6196,3120
geom,0.5,10,1,0.95,1,11.5,1341.064,767.1918393939395,764.9282599999999,793.7136,1629,8689
geom,0.5,10,1,0.95,2,11.5,1256.2086683673467,722.5927845701917,717.6844597959183,733.5131170408164,1384,6466
geom,0.5,10,1,0.95,3,11.5,1278.1088214285714,763.2760692640693,762.6122573469387,791.020023367347,1937,784
geom,0.5,10,1,0.95,4,11.5,1200.166229591833,720.8931525716325,717.8006496938755,737.0536484693854,4036,7218
geom,0.5,10,1,0.95,5,11.5,1260.1105,717.3816939393939,712.6536399999999,728.095475,914,5373
geom,0.5,10,1,0.95,6,11.5,1252.6205204081648,723.5278501546073,719.3637359183673,727.8451733673469,2279,6091
geom,0.5,10,1,0.95,7,11.5,1253.6115,730.4244090909091,719.3515399999999,727.9175900000001,711,1247
geom,0.5,10,1,0.95,8,11.5,1252.3555,719.2869943181818,714.2807437499999,734.75854,6196,3120
geom,0.5,10,1,0.95,9,11.5,1341.064,767.1918393939395,764.9282599999999,793.7136,1629,8689
geom,0.5,10,1,0.975,0,11.5,1356.7845,821.0275454545454,824.55648,855.61298,1384,6466
geom,0.5,10,1,0.975,1,11.5,1361.844,818.9357339015153,822.880949,856.1054333750001,1937,784
geom,0.5,10,1,0.975,2,11.5,1360.1705,818.0560782828283,822.76102,854.838995,4036,7218
geom,0.5,10,1,0.975,3,11.5,1512.7755,887.8299272727271,893.27026,923.09462,914,5373
geom,0.5,10,1,0.975,4,11.5,1359.0879895470384,821.4019786013446,825.2002621602788,845.1591156794426,2279,6091
geom,0.5,10,1,0.975,5,11.5,1419.5845540069686,824.6919167247389,826.0330571080138,848.3860256445995,711,1247
geom,0.5,10,1,0.975,6,11.5,1354.5431875,820.2898162878787,823.6010675000001,857.3004625000001,6196,3120
geom,0.5,10,1,0.975,7,11.5,1424.2041875000002,821.7098112373736,824.8798875000001,858.4794525,1629,8689
geom,0.5,10,1,0.975,8,11.5,1356.7845,821.0275454545454,824.55648,855.61298,1384,6466
geom,0.5,10,1,0.975,9,11.5,1361.844,818.9357339015153,822.880949,856.1054333750001,1937,784
geom,0.5,10,1,0.99,0,11.5,1533.8794253889675,963.5270668316829,971.3096665487975,1007.3811110325319,4036,7218
geom,0.5,10,1,0.99,1,11.5,1624.2867499999995,1049.1348138888884,1055.1169249999994,1085.125699999999,914,5373
geom,0.5,10,1,0.99,2,11.5,1444.789,890.196488888889,895.11138,918.8183999999999,2279,6091
geom,0.5,10,1,0.99,3,11.5,1681.668,1050.947,1055.9655,1083.9335250000001,711,1247
geom,0.5,10,1,0.99,4,11.5,1528.8385,968.0491385555556,973.7790889999999,1010.3862786000001,6196,3120
geom,0.5,10,1,0.99,5,11.5,1598.7945975954733,968.1554954266857,973.4649153323903,1012.6999409618105,1629,8689
geom,0.5,10,1,0.99,6,11.5,1530.4373749999995,964.8294388181812,971.7118076999994,1007.2935982999993,1384,6466
geom,0.5,10,1,0.99,7,11.5,1449.7291249999996,890.0330888888883,895.3986849999993,929.8356749999994,1937,784
geom,0.5,10,1,0.99,8,11.5,1533.8794253889675,963.5270668316829,971.3096665487975,1007.3811110325319,4036,7218
geom,0.5,10,1,0.99,9,11.5,1624.2867499999995,1049.1348138888884,1055.1169249999994,1085.125699999999,914,5373
geom,0.5,10,2,0.95,0,11.5,1274.131,835.4330666666667,830.42075,859.7358250000001,2279,6091
geom,0.5,10,2,0.95,1,11.5,1415.04,885.0703636363636,882.9595649999999,902.9858500000001,711,1247
geom,0.5,10,2,0.95,2,11.5,1333.5535,835.2610897474748,829.785092,858.3056142499998,6196,3120
geom,0.5,10,2,0.95,3,11.5,1276.277,839.5720727272728,835.24718,862.7066799999999,1629,8689
geom,0.5,10,2,0.95,4,11.5,1273.0572499999996,829.95405,829.7599999999998,848.85975,1384,6466
geom,0.5,10,2,0.95,5,11.5,1278.0427499999998,834.0486651515153,830.527405,845.76454,1937,784
geom,0.5,10,2,0.95,6,11.5,1276.4962499999995,834.8676984848485,832.21715,848.3373899999999,4036,7218
geom,0.5,10,2,0.95,7,11.5,1278.1325,830.27605,827.10025,845.534885,914,5373
geom,0.5,10,2,0.95,8,11.5,1274.131,835.4330666666667,830.42075,859.7358250000001,2279,6091
